cellular_component	defined_class
http://purl.obolibrary.org/obo/CL_0000178	http://purl.obolibrary.org/obo/UPHENO_0079659
http://purl.obolibrary.org/obo/CL_0002357	http://purl.obolibrary.org/obo/UPHENO_0079660
http://purl.obolibrary.org/obo/CL_1001451	http://purl.obolibrary.org/obo/UPHENO_0079661
http://purl.obolibrary.org/obo/CL_0000850	http://purl.obolibrary.org/obo/UPHENO_0079662
http://purl.obolibrary.org/obo/CL_0000059	http://purl.obolibrary.org/obo/UPHENO_0079663
http://purl.obolibrary.org/obo/CL_1000488	http://purl.obolibrary.org/obo/UPHENO_0079664
http://purl.obolibrary.org/obo/CL_0002353	http://purl.obolibrary.org/obo/UPHENO_0079665
http://purl.obolibrary.org/obo/CL_0000295	http://purl.obolibrary.org/obo/UPHENO_0079666
http://purl.obolibrary.org/obo/CL_0002355	http://purl.obolibrary.org/obo/UPHENO_0079667
http://purl.obolibrary.org/obo/CL_0002354	http://purl.obolibrary.org/obo/UPHENO_0079668
http://purl.obolibrary.org/obo/CL_0000109	http://purl.obolibrary.org/obo/UPHENO_0079669
http://purl.obolibrary.org/obo/CL_0000904	http://purl.obolibrary.org/obo/UPHENO_0079670
http://purl.obolibrary.org/obo/CL_0000589	http://purl.obolibrary.org/obo/UPHENO_0079671
http://purl.obolibrary.org/obo/CL_0000107	http://purl.obolibrary.org/obo/UPHENO_0079672
http://purl.obolibrary.org/obo/CL_0000108	http://purl.obolibrary.org/obo/UPHENO_0079673
http://purl.obolibrary.org/obo/CL_0000909	http://purl.obolibrary.org/obo/UPHENO_0079674
http://purl.obolibrary.org/obo/CL_0002090	http://purl.obolibrary.org/obo/UPHENO_0079675
http://purl.obolibrary.org/obo/CL_0000905	http://purl.obolibrary.org/obo/UPHENO_0079676
http://purl.obolibrary.org/obo/CL_0000907	http://purl.obolibrary.org/obo/UPHENO_0079677
http://purl.obolibrary.org/obo/CL_0002084	http://purl.obolibrary.org/obo/UPHENO_0079678
http://purl.obolibrary.org/obo/CL_0002080	http://purl.obolibrary.org/obo/UPHENO_0079679
http://purl.obolibrary.org/obo/CL_0002083	http://purl.obolibrary.org/obo/UPHENO_0079680
http://purl.obolibrary.org/obo/CL_0002082	http://purl.obolibrary.org/obo/UPHENO_0079681
